Cookie Dough,White Label Extracts,72.13%,0%,$20.84,½ gram,Nectar - Barbur
Golden Gorilla ,Oregrown,77.7%,1.5%,$20.84,½ gram,Nectar - Barbur
Banana Split LR,White Label Extracts,82.2%,0%,$52,1 gram,Nectar - Barbur
Blueberry Pie,Cultivated Industries,63.01%,0%,$20,1 gram,Nectar - Barbur
Blue magoo HC,White Label Extracts,69.69%,0%,$52,1 gram,Nectar - Barbur
Strawberry Fields,Avitas,74.2%,1.85%,$52,1 gram,Nectar - Barbur
AC/DC Disposable,Green Dragon Extracts,11.3%,69.2%,$52,1 gram,Nectar - Barbur
The Doctor,White Label Extracts,78.6%,0%,$20,1 gram,Nectar - Barbur
Everything Nice,Avitas,75%,0%,$20,1 gram,Nectar - Barbur
Sugar and Spice,Avitas,68.7%,2.07%,$20,1 gram,Nectar - Barbur
Sour Tangie x Grape Stomper,White Label Extracts,81.01%,0%,$20,1 gram,Nectar - Barbur
Diesel Cooks - Nectar,Oregrown,63.9%,0%,$28,½ gram,Nectar - Barbur
Deschutes Durban Caviar,Oregrown,87.2%,0%,$28,½ gram,Nectar - Barbur
Cherry Misu,Hush,62%,0.35%,$20,1 gram,Nectar - Barbur
Dawg Daze,Hush,63%,0.98%,$20,1 gram,Nectar - Barbur
Sensi Star,Mojave,70.4%,0.86%,$20,1 gram,Nectar - Barbur
Alien Rift NR,Oregrown,60.7%,0%,$20,1 gram,Nectar - Barbur
Wookie Girl 91,White Label Extracts,75.84%,0%,$20,1 gram,Nectar - Barbur
White 99,White Label Extracts,75.48%,0%,$20,1 gram,Nectar - Barbur
Uk Cheese x Green Crack,NW KIND,78.9%,0%,$10,1 gram,Nectar - Barbur
Sour Banana-Diamonds,Oregrown,89.5%,0%,$50,1 gram,Nectar - Barbur
Strawberry M ,Hush,63.1%,1.11%,$10,1 gram,Nectar - Barbur
SFV x Chemdawg Diamonds,Oregon Genetics,67.43%,0.15%,$50,1 gram,Nectar - Barbur
Pineapple Express,Oregon Grown Extracts ,76%,0.3%,$20,1 gram,Nectar - Barbur
Rude Boi - Nectar,Oregrown,63.8%,0.2%,$20,1 gram,Nectar - Barbur
LA Cheese,Hush,62.9%,2.1%,$20,1 gram,Nectar - Barbur
Meteorite - Sativa,Precision Alchemy,44.4%,0%,$20,1 gram,Nectar - Barbur
Diesel Cooks - NR,Oregrown,68.4%,0%,$10,1 gram,Nectar - Barbur
Dream Queen ,Hush,61.2%,0.65%,$10,1 gram,Nectar - Barbur
LA Cheese,Hush,62.9%,2.1%,$13,1 gram,Nectar - Barbur
Lavender ,Oregon Grown Extractions,75.7%,0%,$13,1 gram,Nectar - Barbur
Meteorite-Hybrid,Precision Alchemy,40.4%,0%,$16,1 gram,Nectar - Barbur
Mickey Kush,NW KIND,71.3%,0%,$16,1 gram,Nectar - Barbur
Oaxcan Jager,NW KIND,69.4%,0%,$30,1 gram,Nectar - Barbur
Scouts honor,NW KIND,70.3%,0%,$30,1 gram,Nectar - Barbur
SFV OG Rosin,Karma Originals,71.14%,0.03%,$17,1 gram,Nectar - Barbur
Strawberry M,Hush,63.1%,1.11%,$17,1 gram,Nectar - Barbur
Vortex (Diamond Sauce),Buddies Brand,76.3%,0.37%,$20,1 gram,Nectar - Barbur
XJ-13,NW KIND,73.2%,0.92%,$20,1 gram,Nectar - Barbur
Agent Orange ,Oregon Grown Extractions,78.3%,1.2%,$17,1 gram,Nectar - Barbur
Amherst Sour Diesel ,White Label Extracts,75.35%,0%,$17,1 gram,Nectar - Barbur
Blue Light Special ,White Label Extracts,74.46%,0.39%,$35,1 gram,Nectar - Barbur
Bubba 99,White Label Extracts,78.93%,0%,$35,1 gram,Nectar - Barbur
Cinex ,Select Oil & CBD,92.9%,0.67%,$13,1 gram,Nectar - Barbur
Huckleberry Diesel ,Oregon Grown Extractions,75.7%,2%,$13,1 gram,Nectar - Barbur
Lady Daze,White Label Extracts,73.24%,0%,$25,1 gram,Nectar - Barbur
Orange Fire,White Label Extracts,75.74%,0%,$25,1 gram,Nectar - Barbur
Pineapple Trainwreck,Gold Moon,76.3%,0%,$20,1 gram,Nectar - Barbur
Platinum Gelato,Oregon Grown Extractions,77.9%,0.5%,$20,1 gram,Nectar - Barbur
South Fork Kush 56,White Label Extracts,71.05%,0%,$10,1 gram,Nectar - Barbur
The Vision,White Label Extracts,73.5%,0%,$10,1 gram,Nectar - Barbur
Super Skunk,Applegate Valley Organics,56.5%,0%,$15,½ gram,Nectar - Barbur
T.I.T.S Live Resin ,Permaculture Solutions,68.86%,0.15%,$40,1 gram,Nectar - Barbur
Tangie,Hush,62.8%,0.77%,$40,1 gram,Nectar - Barbur
Thin Mint Dabbable,Nectar,62.1%,1.76%,$17,1 gram,Nectar - Barbur
Trinity Dabbable,Select Oil & CBD,75.4%,0%,$17,1 gram,Nectar - Barbur
Maverick Dabbable,Nectar,61.1%,1.23%,$50,1 gram,Nectar - Barbur
Ogre BHO,Applegate Valley Organics,63.7%,0.79%,$50,1 gram,Nectar - Barbur
Sour Tangie Dabbable,Select Oil & CBD,94.9%,0.41%,$50,1 gram,Nectar - Barbur
Space Needle Dabbable,Select Oil & CBD,82.9%,0.25%,$50,1 gram,Nectar - Barbur
Summer Breeze,VIOLA EXTRACTS,67.4%,0%,$15,½ gram,Nectar - Barbur
Granddaddy Purple LR,NW KIND,67.34%,0%,$20,1 gram,Nectar - Barbur
Grape A Dabbable,Nectar,59.6%,0.47%,$20,1 gram,Nectar - Barbur
Hot Rod,White Label Extracts,69.41%,0%,$24,1 gram,Nectar - Barbur
Ice Cream Cake,Willamette Valley Alchemy,72.6%,0%,$24,1 gram,Nectar - Barbur
Lavender NR,Oregon Grown Extractions,73.04%,0.2%,$16,1 gram,Nectar - Barbur
Mandarin Madness,Gold Moon,75.4%,0%,$16,1 gram,Nectar - Barbur
